Artist and Title,Streams,Daily
The Lumineers - Ophelia,"1,06,08,26,848","7,45,835"
Loud Luxury - Body,"1,06,03,04,826","4,18,570"
Jawsh 685 - Savage Love (Laxed,"1,06,02,38,371","2,50,038"
Jason Derulo - Swalla,"1,05,86,55,756","2,05,058"
The Fray - How to Save a Life,"1,05,86,00,361","4,40,735"
Lil Wayne - Sucker for Pain,"1,05,75,05,682","2,38,983"
Kate Bush - Running Up That Hill (A Deal With God),"1,05,71,04,160","6,83,928"
Jonas Blue - Fast Car,"1,05,53,94,292","3,21,451"
Lana Del Rey - Summertime Sadness,"1,05,48,87,019","15,63,208"
Harry Styles - Falling,"1,05,34,35,960","6,28,628"
Macklemore & Ryan Lewis - Thrift Shop,"1,05,13,65,396","6,20,320"
ABBA - Dancing Queen,"1,04,97,64,730","8,07,418"
Post Malone - White Iverson,"1,04,91,61,156","3,49,343"
J. Cole - Wet Dreamz,"1,04,81,95,593","7,87,205"
A$AP Rocky - Praise The Lord (Da Shine),"1,04,77,28,369","6,83,674"
Fall Out Boy - Centuries,"1,04,66,92,508","4,38,227"
Calvin Harris - Feels,"1,04,64,59,947","3,02,971"
Jack Ã - Where Are Ã Now,"1,04,63,20,667","1,87,704"
Rudimental - These Days,"1,04,26,56,475","2,92,414"
Taylor Swift - Cruel Summer,"1,03,87,88,694","52,36,130"
Joji - Glimpse of Us,"1,03,53,22,243","9,89,318"
Hailee Steinfeld - Let Me Go,"1,03,30,79,353","2,52,715"
Whitney Houston - I Wanna Dance with Somebody (Who Loves Me),"1,03,22,62,788","5,92,523"
GAYLE - abcdefu,"1,03,11,98,765","4,93,433"
Pop Smoke - For The Night,"1,03,07,71,697","3,64,508"
Britney Spears - Toxic,"1,03,02,90,895","6,64,915"
Kygo - Firestone,"1,03,00,00,244","2,93,089"
One Direction - What Makes You Beautiful,"1,02,85,29,110","7,52,831"
Kendrick Lamar - DNA.,"1,02,76,23,905","4,20,322"
Dire Straits - Sultans Of Swing,"1,02,57,41,894","6,34,440"
Lady Gaga - Poker Face,"1,02,57,40,316","8,20,219"
Lil Peep - Falling Down,"1,02,50,87,565","3,95,124"
Bryan Adams - Summer Of '69,"1,02,29,54,170","6,46,824"
Ali Gatie - It's You,"1,02,20,20,241","3,58,499"
Rihanna - FourFiveSeconds,"1,02,15,14,607","3,64,881"
The Walters - I Love You So,"1,01,96,32,092","9,72,309"
DJ Khaled - Wild Thoughts,"1,01,89,69,082","3,73,094"
Duncan Laurence - Arcade,"1,01,87,14,502","5,58,014"
Lady Gaga - Bad Romance,"1,01,61,15,432","6,21,793"
Drake - Nonstop,"1,01,55,97,725","4,38,400"
Guns N' Roses - Welcome To The Jungle,"1,01,49,29,204","6,18,165"
JP Saxe - If the World Was Ending,"1,01,43,81,552","4,61,980"
Lost Frequencies - Where Are You Now,"1,01,29,59,981","8,38,153"
Kungs - This Girl (Kungs Vs. Cookin' On 3 Burners),"1,01,09,69,949","3,98,240"
Calvin Harris - How Deep Is Your Love,"1,00,72,70,144","3,96,276"
Kodaline - All I Want,"1,00,71,23,597","4,30,530"
Miguel - Sure Thing,"1,00,61,09,481","12,29,987"
Metallica - Nothing Else Matters (Remastered),"1,00,56,98,192","5,81,090"
One Direction - Drag Me Down,"1,00,40,90,330","3,68,576"
Ariana Grande - Stuck with U,"1,00,28,37,517","4,16,170"
Pop Smoke - What You Know Bout Love,"1,00,25,08,735","5,11,088"
Katy Perry - Roar,"1,00,20,23,829","5,09,685"
Rema - Calm Down,"99,97,90,463","20,49,688"
Drake - Toosie Slide,"99,61,41,083","2,61,161"
fun. - We Are Young,"99,59,09,086","5,64,387"
DJ Snake - Middle,"99,54,47,906","2,62,911"
Lewis Capaldi - Bruises,"99,31,17,330","4,69,803"
Clean Bandit - Solo,"99,19,58,614","1,84,315"
Sia - Unstoppable,"98,97,04,682","10,81,432"
Drake - Too Good,"98,95,34,639","2,57,247"
Red Hot Chili Peppers - Can't Stop,"98,88,80,314","6,17,217"
Kesha - TiK ToK,"98,82,99,166","6,18,709"
The Cranberries - Zombie,"98,79,09,763","6,65,325"
Eminem - Rap God,"98,78,08,150","3,12,026"
Bazzi - Mine,"98,68,75,879","2,52,820"
Chris Brown - Under The Influence,"98,60,06,627","11,47,698"
A Great Big World - Say Something,"98,58,79,598","2,80,475"
Selena Gomez - Back To You,"98,57,98,455","3,45,263"
Sean Paul - No Lie,"98,46,05,859","6,10,859"
Papa Roach - Last Resort,"98,43,58,139","5,75,328"
Adele - Make You Feel My Love,"98,32,00,889","4,41,790"
George Ezra - Budapest,"98,31,11,979","4,58,337"
Ariana Grande - God is a woman,"98,28,63,687","3,11,602"
Kodak Black - ZEZE,"98,24,36,079","2,52,797"
Giveon - Heartbreak Anniversary,"98,01,20,366","6,15,229"
The Chainsmokers - Roses,"97,95,15,443","3,14,514"
LISA - MONEY,"97,79,73,187","21,35,980"
Lady Gaga - Rain On Me,"97,76,67,727","3,06,714"
Flo Rida - My House,"97,67,39,677","2,91,017"
Calvin Harris - Promises,"97,64,39,123","2,45,100"
Billie Eilish - idontwannabeyouanymore,"97,54,24,673","4,31,034"
"The Rolling Stones - Paint It, Black","97,44,48,042","7,64,893"
Lil Peep - Star Shopping,"97,40,74,461","7,34,601"
BeyoncÃ© - Crazy In Love,"97,32,21,329","7,68,224"
Steve Lacy - Dark Red,"97,20,14,807","11,88,927"
Plain White T's - Hey There Delilah,"97,15,29,636","4,04,120"
Lana Del Rey - Young And Beautiful,"97,10,93,242","9,72,251"
"Dan + Shay - 10,000 Hours","96,99,73,128","3,38,574"
Jonas Blue - Perfect Strangers,"96,96,09,416","2,80,032"
Unknown - Perfect Strangers,"96,87,93,129","2,68,907"
Meghan Trainor - Like I'm Gonna Lose You,"96,75,05,632","3,20,275"
Adele - Send My Love (To Your New Lover),"96,69,00,099","4,00,599"
Lilly Wood and The Prick - Prayer in C,"96,68,44,857","4,48,097"
The Notorious B.I.G. - Hypnotize,"96,67,77,250","6,37,648"
Kanye West - Gold Digger,"96,47,57,639","6,26,708"
Post Malone - Candy Paint,"96,23,16,512","2,62,378"
Lil Baby - Yes Indeed,"96,16,64,031","6,37,891"
Avicii - Without You,"96,07,95,253","3,86,420"
Billie Eilish - bury a friend,"96,06,74,091","1,88,212"
Sheck Wes - Mo Bamba,"96,00,11,342","3,92,989"
Jason Derulo - Want to Want Me,"95,92,69,204","2,56,525"
BÃRNS - Electric Love,"95,85,23,065","4,70,483"
Smash Mouth - All Star,"95,78,66,612","5,73,602"
Calvin Harris - Slide,"95,77,86,346","3,22,942"
Nelly Furtado - Promiscuous,"95,70,52,701","8,97,559"
Daft Punk - Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],"95,67,77,417","4,84,521"
Liam Payne - Strip That Down,"95,63,61,767","1,67,266"
Taylor Swift - Lover,"95,56,40,580","15,01,582"
Michael Jackson - Beat It,"95,35,76,478","6,20,724"
YNW Melly - Murder on My Mind,"95,28,30,846","4,78,711"
Mabel - Don't Call Me Up,"95,26,71,545","2,27,383"
Shawn Mendes - If I Can't Have You,"95,00,10,307","2,56,742"
Lil Nas X - Old Town Road,"94,87,14,632","2,81,172"
Lil Nas X - THATS WHAT I WANT,"94,69,24,449","5,40,986"
Eminem - Stan,"94,66,95,212","5,95,776"
Aerosmith - Dream On,"94,62,62,203","8,05,136"
Red Hot Chili Peppers - Snow (Hey Oh),"94,59,69,995","3,82,906"
Kina - Get You The Moon,"94,55,23,059","3,04,662"
WILLOW - Wait a Minute!,"94,54,74,711","4,60,952"
Guns N' Roses - Paradise City,"94,40,67,814","4,86,135"
Chris Brown - No Guidance,"94,36,05,713","3,41,532"
Bad Bunny - Moscow Mule,"94,34,54,218","6,88,797"
Lizzo - Truth Hurts,"94,31,41,330","2,30,984"
Spice Girls - Wannabe,"94,14,04,014","5,55,914"
BlocBoy JB - Look Alive,"94,13,25,569","2,06,398"
Kali Uchis - telepatÃ­a,"94,02,87,967","7,00,792"
Metro Boomin - Creepin',"94,02,51,056","19,27,077"
Post Malone - Go Flex,"93,99,90,603","3,80,839"
"Elton John - Rocket Man (I Think It's Going To Be A Long, Long Time)","93,95,04,211","5,39,072"
Nicki Minaj - Starships,"93,86,03,714","6,75,494"
Kanye West - Heartless,"93,83,79,227","12,65,324"
Taylor Swift - Look What You Made Me Do,"93,79,47,092","7,09,420"
M83 - Midnight City,"93,74,40,225","6,17,588"
Pop Smoke - Dior,"93,70,99,111","5,67,159"
Fleetwood Mac - The Chain,"93,69,88,225","7,12,377"
Cyndi Lauper - Girls Just Want to Have Fun,"93,48,69,107","6,45,946"
KAROL G - PROVENZA,"93,44,48,075","10,44,018"
AC/DC - You Shook Me All Night Long,"93,23,71,166","6,49,058"
Calum Scott - You Are The Reason,"93,15,30,815","3,54,544"
MEDUZA - Piece Of Your Heart,"93,09,78,071","2,97,016"
Foo Fighters - Everlong,"92,78,40,823","8,36,944"
Y2K - Lalala,"92,55,71,465","1,65,414"
Ice Cube - It Was A Good Day,"92,53,27,501","8,34,620"
Imagine Dragons - Bad Liar,"92,51,96,459","4,80,272"
Taio Cruz - Dynamite,"92,49,11,315","5,40,277"
Bon Jovi - You Give Love A Bad Name,"92,46,71,585","6,51,053"
Swedish House Mafia - Don't You Worry Child,"92,38,75,083","6,56,724"
Drake - Fake Love,"92,37,89,790","1,98,830"
Shakira - Chantaje,"92,33,09,219","2,81,758"
blink-182 - All The Small Things,"92,21,26,303","6,48,496"
Khalid - Talk,"92,17,69,732","1,97,298"
Ariana Grande - Dangerous Woman,"92,06,28,832","6,24,841"
Sam Smith - How Do You Sleep?,"92,05,17,613","1,93,647"
Of Monsters and Men - Little Talks,"91,86,92,807","4,48,436"
Mr. Probz - Waves,"91,79,61,979","3,35,214"
Zara Larsson - Never Forget You,"91,79,60,280","2,00,056"
Calvin Harris - Outside,"91,76,98,565","5,75,242"
Katy Perry - Last Friday Night (T.G.I.F.),"91,56,11,152","7,61,442"
Bad Bunny - Vete,"91,45,58,629","3,44,530"
Pitbull - Give Me Everything,"91,36,84,798","7,21,725"
Black Eyed Peas - RITMO (Bad Boys For Life),"91,35,27,139","2,13,617"
Nicky Jam - X,"91,34,72,185","2,33,633"
Gnarls Barkley - Crazy,"91,28,61,505","7,26,852"
Jaymes Young - Infinity,"91,27,46,648","5,02,979"
KYLE - iSpy,"91,11,32,591","1,84,055"
Elley DuhÃ© - MIDDLE OF THE NIGHT,"90,98,02,548","7,54,088"
The Verve - Bitter Sweet Symphony,"90,95,72,840","5,19,887"
Calvin Harris - My Way,"90,76,17,853","3,78,635"
Rae Sremmurd - Black Beatles,"90,72,22,941","2,24,293"
The Clash - Should I Stay or Should I Go,"90,67,08,604","4,42,831"
"Ariana Grande - break up with your girlfriend, i'm bored","90,58,13,155","2,84,609"
Ed Sheeran - I See Fire,"90,53,64,384","1,57,865"
Ed Sheeran - The A Team,"90,41,08,449","2,74,191"
Jay Wheeler - La Curiosidad,"90,19,21,941","6,45,747"
Imagine Dragons - Bones,"90,14,15,059","13,41,900"
Avicii - Hey Brother,"90,10,08,028","3,89,760"
Disclosure - Latch,"90,08,36,269","3,72,584"
U2 - With Or Without You,"89,99,22,581","4,62,338"
Jonas Blue - Mama,"89,99,11,078","2,21,072"
Aerosmith - I Don't Want To Miss A Thing,"89,92,28,869","4,40,129"
Outkast - Ms. Jackson,"89,92,20,516","5,96,562"
Cigarettes After Sex - Apocalypse,"89,92,00,260","12,64,854"
Katy Perry - Firework,"89,90,23,420","5,51,478"
Bad Bunny - LA NOCHE DE ANOCHE,"89,82,33,976","4,01,507"
Taylor Swift - cardigan,"89,79,48,408","16,36,903"
XXXTENTACION - the remedy for a broken heart (why am I so in love),"89,77,97,190","2,25,315"
Maroon 5 - Don't Wanna Know,"89,58,34,987","2,12,386"
Lost Frequencies - Are You With Me,"89,49,45,535","5,65,181"
Eminem - The Monster,"89,48,26,649","4,06,083"
Taylor Swift - Style,"89,47,50,958","22,34,802"
Surfaces - Sunday Best,"89,30,10,968","2,29,799"
Doja Cat - Streets,"89,18,23,472","6,21,274"
Green Day - Basket Case,"89,16,28,124","7,03,440"
Olivia Rodrigo - happier,"89,10,22,443","9,62,406"
Drake - Money In The Grave (Drake ft. Rick Ross),"89,07,91,493","3,28,619"
Flo Rida - Low,"88,95,06,477","5,56,234"
Evanescence - Bring Me To Life,"88,93,90,192","7,61,871"
Shaggy - It Wasn't Me,"88,90,84,337","5,18,550"
Migos - Bad and Boujee,"88,88,45,520","1,92,348"
The Drifters - Stand by Me,"88,82,52,309","6,15,360"
Ben E. King - Stand by Me,"88,82,52,309","6,15,360"
Zac Efron - Rewrite The Stars,"88,74,33,276","3,68,496"
Eminem - Not Afraid,"88,74,22,141","4,32,832"
Kygo - Stole the Show,"88,70,95,979","2,84,954"
Lunay - Soltera (Remix),"88,45,71,269","2,92,957"
Ariana Grande - 34+35,"88,37,37,744","3,43,378"
TLC - No Scrubs,"88,29,83,434","5,94,213"
Khalid - Love Lies,"88,28,00,530","2,26,767"
Maluma - Felices los 4,"88,26,36,783","1,97,341"
Justin Timberlake - Mirrors,"88,24,63,495","4,37,887"
Alicia Keys - If I Ain't Got You,"88,23,33,950","4,98,879"
Riton - Friday,"88,17,50,852","4,83,496"
Luis Fonsi - Ãchame La Culpa,"88,07,77,950","2,14,290"
Bee Gees - Stayin' Alive,"87,99,37,228","5,49,514"
JAY-Z - Numb / Encore,"87,87,79,107","4,97,321"
Rag'n'Bone Man - Human,"87,85,05,562","4,76,307"
Coldplay - Adventure of a Lifetime,"87,82,01,980","3,39,711"
Arctic Monkeys - R U Mine?,"87,79,50,650","6,05,019"
R. City - Locked Away,"87,57,16,383","3,84,328"
Maggie Lindemann - Pretty Girl,"87,56,91,154","97,268"
MÃ¥neskin - I WANNA BE YOUR SLAVE,"87,52,23,961","5,67,647"
Dominic Fike - 3 Nights,"87,41,71,870","3,46,896"
Juice WRLD - Come & Go,"87,40,95,827","2,91,343"
Drake - Laugh Now Cry Later,"87,35,92,592","3,73,038"
"Drake - Hold On, We're Going Home","87,23,13,927","4,50,802"
Dennis Lloyd - Nevermind,"87,12,23,941","3,63,321"
Van Morrison - Brown Eyed Girl,"87,01,22,477","5,25,601"
Maroon 5 - This Love,"86,80,73,234","6,03,804"
Steve Lacy - Bad Habit,"86,77,88,608","9,70,575"
Black Sabbath - Paranoid,"86,76,48,670","9,28,256"
Led Zeppelin - Stairway to Heaven,"86,76,09,821","4,03,557"
Frank Ocean - Pink + White,"86,73,45,218","14,35,249"
Dr. Dre - The Next Episode,"86,65,48,972","5,18,176"
Nico & Vinz - Am I Wrong,"86,58,47,563","3,11,021"
The Notorious B.I.G. - Big Poppa,"86,47,11,783","5,83,562"
American Authors - Best Day Of My Life,"86,43,50,937","5,00,577"
Miley Cyrus - We Can't Stop,"86,33,34,175","4,16,731"
Niall Horan - Slow Hands,"86,32,50,508","2,86,522"
Starley - Call on Me,"86,21,30,001","1,25,720"
MEDUZA - Lose Control,"86,15,93,635","2,83,991"
Dua Lipa - Physical,"86,12,41,667","3,91,609"
Surf Curse - Freaks,"86,03,54,522","7,86,286"
Electric Light Orchestra - Mr. Blue Sky,"85,98,62,441","4,30,817"
SZA - Good Days,"85,88,63,442","7,15,334"
The Kid LAROI - WITHOUT YOU,"85,84,32,669","2,57,349"
Hoobastank - The Reason,"85,63,36,181","5,95,234"
Gucci Mane - Wake Up in the Sky,"85,57,15,043","5,79,828"
Frank Ocean - Lost,"85,50,66,615","7,21,732"
Bruno Mars - Treasure,"85,43,37,074","6,39,380"
George Ezra - Shotgun,"85,39,25,476","2,95,506"
Lady Gaga - Just Dance,"85,37,01,485","7,28,752"
The Weeknd - In Your Eyes,"85,26,34,519","3,61,219"
Black Eyed Peas - Where Is The Love?,"85,26,34,488","5,02,488"
Eslabon Armado - Ella Baila Sola,"85,10,89,722","21,62,466"
Kygo - Higher Love,"85,03,29,809","3,64,315"
BLACKPINK - How You Like That,"85,01,29,209","5,19,824"
Surf Mesa - ily (i love you baby),"84,97,40,547","2,49,915"
The Weeknd - Often,"84,89,10,935","4,75,165"
Bryson Tiller - Exchange,"84,83,36,839","4,09,630"
Shawn Mendes - In My Blood,"84,82,90,889","1,82,246"
Cardi B - Bodak Yellow,"84,78,66,257","2,55,844"
Juice WRLD - Bandit,"84,78,52,908","2,84,017"
Paulo Londra - Adan y Eva,"84,74,06,334","2,33,110"
Lil Uzi Vert - The Way Life Goes,"84,69,02,495","5,58,828"
The Animals - House of the Rising Sun,"84,00,74,831","4,78,673"
Rauw Alejandro - Desesperados,"84,00,49,891","6,19,442"
Lil Uzi Vert - 20 Min,"83,97,56,891","7,50,860"
Red Hot Chili Peppers - Otherside,"83,97,39,836","5,18,279"
Kanye West - POWER,"83,89,63,540","3,59,911"
Fleetwood Mac - Go Your Own Way,"83,84,17,206","5,73,952"
Ariana Grande - Santa Tell Me,"83,72,38,190","98,807"
Zion & Lennox - Otra vez,"83,64,44,923","2,66,697"
KALEO - Way down We Go,"83,52,12,219","9,51,981"
Billie Eilish - bellyache,"83,50,83,887","4,65,135"
Daryl Hall & John Oates - You Make My Dreams (Come True),"83,50,20,208","5,10,865"
Lauv - i'm so tired...,"83,42,22,964","2,31,442"
Beach House - Space Song,"83,37,06,847","9,27,824"
Ava Max - Kings & Queens,"83,34,99,382","4,69,975"
Calvin Harris - Blame,"83,12,07,822","3,62,684"
NATTI NATASHA - Criminal,"83,00,84,235","2,01,649"
G-Eazy - Him & I,"82,98,23,326","4,21,542"
Bob Marley & The Wailers - Three Little Birds,"82,97,02,670","4,93,456"
Mark Ronson - Nothing Breaks Like a Heart,"82,96,68,946","4,63,786"
Mario - Let Me Love You,"82,86,21,269","4,42,636"
Jonas Blue - Rise,"82,83,30,459","1,76,637"
Elton John - I'm Still Standing,"82,74,72,673","9,22,415"
ROSALÃA - DESPECHÃ,"82,74,67,533","8,78,370"
Harry Styles - Golden,"82,64,51,409","4,08,945"
Dua Lipa - Levitating,"82,45,76,913","5,32,149"
Imagine Dragons - On Top Of The World,"82,43,65,536","4,78,825"
Rihanna - Only Girl (In The World),"82,37,01,834","8,25,114"
Rachel Platten - Fight Song,"82,36,73,632","2,75,852"
Galantis - No Money,"82,36,45,262","2,73,159"
Rihanna - S&M,"82,36,23,707","6,60,851"
Mustard - Ballin',"82,33,38,405","4,27,856"
Wham! - Wake Me Up Before You Go-Go,"82,19,45,494","4,46,213"
TiÃ«sto - Jackie Chan,"82,18,47,583","1,72,447"
Ty Dolla $ign - Or Nah,"82,17,88,517","4,33,951"
George Michael - Careless Whisper,"82,09,68,836","6,18,407"
Guns N' Roses - November Rain,"82,07,87,744","4,14,677"
Taylor Swift - Wildest Dreams,"82,05,80,552","7,51,997"
JVKE - golden hour,"82,05,49,043","13,27,933"
JAY-Z - Empire State Of Mind,"82,02,90,477","7,47,353"
Nickelback - How You Remind Me,"81,94,93,252","5,57,730"
Olivia Rodrigo - favorite crime,"81,93,12,506","8,35,893"
"Tyler, The Creator - EARFQUAKE","81,72,16,967","4,36,193"
Bruno Mars - Marry You,"81,67,73,724","6,59,249"
Polo G - RAPSTAR,"81,64,23,551","4,18,294"
21 Savage - a lot,"81,58,85,906","5,44,950"
Ariana Grande - Break Free,"81,51,95,248","3,00,220"
Daniel Caesar - Get You,"81,42,58,147","7,08,128"
DRAM - Broccoli,"81,39,86,281","1,44,043"
Avicii - Levels,"81,26,77,967","5,23,159"
Juice WRLD - Wishing Well,"81,26,14,879","2,99,046"
Nicky Jam - El PerdÃ³n,"81,20,05,340","2,28,073"
Niall Horan - This Town,"81,14,75,895","3,85,626"
Michael BublÃ© - It's Beginning to Look a Lot like Christmas,"80,96,09,295","68,077"
50 Cent - Candy Shop,"80,81,58,350","5,63,442"
Macklemore - Glorious,"80,80,47,420","3,20,952"
The Weeknd - Heartless,"80,73,37,605","7,21,722"
Sia - Elastic Heart,"80,70,87,728","3,82,547"
Calvin Harris - Feel So Close,"80,67,02,944","5,83,207"
A Boogie Wit da Hoodie - Drowning,"80,62,58,708","3,58,376"
Billie Eilish - i love you,"80,61,92,815","3,91,619"
Amy Winehouse - Back To Black,"80,61,69,583","5,58,508"
Billie Eilish - Bored,"80,49,34,951","5,86,546"
KISS - I Was Made For Lovin' You,"80,48,02,221","5,74,918"
"The Offspring - You're Gonna Go Far, Kid","80,42,64,021","5,96,541"
Sam Hunt - Body Like A Back Road,"80,41,46,626","3,39,071"
Bad Bunny - Safaera,"80,22,82,107","2,77,508"
Galantis - Runaway (U & I),"80,08,47,982","2,71,448"
The Jackson 5 - I Want You Back,"80,04,44,089","4,59,851"
GROUPLOVE - Tongue Tied,"80,04,09,180","3,51,134"
Bruno Mars - The Lazy Song,"79,94,12,345","6,52,025"
3 Doors Down - Kryptonite,"79,92,18,263","4,88,620"
James Blunt - You're Beautiful,"79,84,79,520","3,41,817"
Tainy - Lo Siento BB:/,"79,80,00,602","4,81,509"
Green Day - American Idiot,"79,73,90,654","5,78,785"
Florence + The Machine - Dog Days Are Over,"79,68,21,595","9,37,833"
Owl City - Fireflies,"79,63,70,139","3,60,697"
Queen - Somebody To Love,"79,57,04,169","3,56,171"
Miley Cyrus - Wrecking Ball,"79,56,74,219","4,56,505"
KAROL G - BICHOTA,"79,49,92,946","3,07,529"
Camila Cabello - Never Be the Same,"79,46,53,140","1,79,463"
Edward Sharpe & The Magnetic Zeros - Home,"79,36,21,864","4,09,152"
4 Non Blondes - What's Up?,"79,25,19,859","5,31,723"
Panic! At The Disco - I Write Sins Not Tragedies,"79,08,12,915","2,94,697"
The Weeknd - Pray For Me,"78,88,79,963","4,84,672"
Jason Mraz - I Won't Give Up,"78,85,99,982","2,40,551"
David Guetta - 2U,"78,81,70,842","1,26,557"
Ariana Grande - Problem,"78,81,27,425","2,67,245"
Ariana Grande - Love Me Harder,"78,67,47,926","4,34,965"
Camila Cabello - Bam Bam,"78,61,30,174","5,88,399"
Ruth B. - Lost Boy,"78,58,76,217","2,01,839"
Taylor Swift - You Need To Calm Down,"78,57,02,552","4,91,346"
My Chemical Romance - Teenagers,"78,50,08,240","4,62,250"
Rage Against The Machine - Killing In The Name,"78,48,21,034","4,39,157"
Rihanna - Don't Stop The Music,"78,46,49,274","5,99,928"
Harry Styles - Late Night Talking,"78,43,11,749","7,81,495"
Drake - Jumpman,"78,39,01,475","1,49,108"
Billie Eilish - you should see me in a crown,"78,36,58,310","2,71,587"
Doja Cat - Boss Bitch,"78,31,06,785","4,36,117"
Eminem - River,"78,27,54,252","1,70,717"
Robin Thicke - Blurred Lines,"78,19,46,123","2,61,456"
Bad Bunny - La Santa,"78,11,23,305","4,76,309"
The Temptations - My Girl,"78,06,57,275","5,14,847"
Rosa Linn - SNAP,"77,97,90,470","10,76,243"
Petit Biscuit - Sunset Lover,"77,80,22,838","1,68,480"
Taylor Swift - Delicate,"77,73,39,695","8,74,801"
J. Cole - Work Out,"77,62,79,747","6,84,711"
Rob $tone - Chill Bill,"77,62,67,698","2,96,087"
A Boogie Wit da Hoodie - Swervin,"77,62,49,905","1,57,934"
Kanye West - Father Stretch My Hands Pt. 1,"77,58,23,065","9,82,577"
Polo G - Pop Out,"77,57,61,296","3,27,015"
Don Toliver - No Idea,"77,56,73,969","4,33,884"
J Balvin - Un DÃ­a (One Day),"77,52,17,549","2,32,611"
Mike Perry - The Ocean,"77,49,50,825","1,16,778"
Iyaz - Replay,"77,49,40,754","4,82,697"
Rihanna - Bitch Better Have My Money,"77,41,84,596","3,26,269"
Aaron Smith - Dancin,"77,40,91,326","3,25,679"
Van Halen - Jump,"77,38,39,800","4,46,822"
DJ Snake - Loco Contigo,"77,35,52,912","2,01,570"
"Bizarrap - Shakira: Bzrp Music Sessions, Vol. 53","77,28,86,075","9,12,377"
Taylor Swift - ME!,"77,19,67,388","3,60,208"
Brenda Lee - Rockin' Around The Christmas Tree,"77,15,28,114","81,939"
Xmas Classics - Rockin' Around the Christmas Tree,"77,14,46,779","51,240"
Noah Cyrus - July,"77,13,46,457","4,74,250"
Drake - Controlla,"76,95,28,815","1,92,016"
"Pink Floyd - Another Brick In The Wall, Pt. 2","76,94,74,123","5,08,172"
Stephen Sanchez - Until I Found You,"76,91,62,862","8,78,308"
Taylor Swift - Love Story,"76,91,01,864","5,65,150"
Juice WRLD - Lean Wit Me,"76,86,01,016","3,64,893"
Charlie Puth - Left and Right (Feat. Jung Kook of BTS),"76,85,99,837","9,50,737"
Ed Sheeran - Perfect Duet (Ed Sheeran & BeyoncÃ©),"76,69,73,304","1,15,280"
Kenny Loggins - Footloose,"76,67,46,566","4,10,667"
Chris Stapleton - Tennessee Whiskey,"76,54,38,083","6,38,854"
Tove Lo - Habits (Stay High),"76,52,04,200","4,94,721"
David Guetta - Hey Mama,"76,50,99,723","2,43,968"
Fifth Harmony - Worth It,"76,33,29,184","1,94,613"
Metro Boomin - Space Cadet,"76,19,92,831","5,69,816"
Leona Lewis - Bleeding Love,"76,16,83,228","3,07,786"
Simple Minds - Don't You (Forget About Me),"76,16,31,429","5,20,988"
AWOLNATION - Sail,"76,04,59,729","2,02,238"
David Guetta - Memories,"75,99,85,114","5,98,857"
Enrique Iglesias - Bailando,"75,91,48,122","3,44,471"
Empire of the Sun - Walking On A Dream,"75,85,99,485","5,95,444"
girl in red - we fell in love in october,"75,71,07,281","7,64,184"
Miley Cyrus - Malibu,"75,70,17,529","2,42,864"
Charlie Puth - One Call Away,"75,62,71,271","2,73,125"
Jimmy Eat World - The Middle,"75,62,27,002","5,83,045"
Taylor Swift - Donât Blame Me,"75,60,58,581","14,34,825"
Justin Bieber - Baby,"75,58,95,686","6,42,969"
Akon - Smack That,"75,57,20,851","7,21,625"
Flo Rida - Wild Ones,"75,41,34,903","3,83,668"
6ix9ine - FEFE,"75,38,45,233","1,30,437"
Ozuna - Vaina Loca,"75,28,94,430","2,81,824"
Meghan Trainor - All About That Bass,"75,22,45,453","2,24,182"
Justin Bieber - Yummy,"75,17,80,414","1,57,071"
Billy Joel - Piano Man,"75,13,16,328","3,46,408"
Frank Ocean - Thinkin Bout You,"75,12,84,700","4,55,053"
AURORA - Runaway,"75,11,40,701","4,93,977"
Lizzo - About Damn Time,"75,09,88,006","4,96,428"
The Weeknd - I Was Never There,"75,07,89,459","9,51,627"
Jeremy Zucker - comethru,"75,03,92,446","2,83,899"
DaBaby - BOP,"75,03,01,750","2,39,550"
CKay - love nwantiti (ah ah ah),"74,91,29,882","4,82,892"
Elton John - Your Song,"74,88,35,013","4,55,479"
Becky G - MAMIII,"74,86,26,515","7,17,239"
Wisin - EscÃ¡pate Conmigo,"74,82,24,278","1,53,339"
System Of A Down - Toxicity,"74,81,64,882","5,94,957"
Katy Perry - The One That Got Away,"74,81,55,188","6,32,581"
Birdy - Skinny Love,"74,80,41,158","2,13,239"
Lady Gaga - Million Reasons,"74,78,19,239","2,83,787"
David Guetta - Sexy Bitch,"74,65,28,592","5,64,714"
Justin Bieber - Lonely,"74,65,01,488","2,73,627"
Alicia Keys - No One,"74,63,28,891","3,48,931"
Becky G - Sin Pijama,"74,60,34,304","1,69,441"
Keala Settle - This Is Me,"74,59,97,668","2,22,605"
BLACKPINK - Kill This Love,"74,53,29,659","3,12,806"
Shawn Mendes - Lost In Japan,"74,48,20,813","1,46,702"
Katy Perry - I Kissed A Girl,"74,46,15,593","5,11,221"
d4vd - Romantic Homicide,"74,42,98,575","13,44,867"
Bobby Helms - Jingle Bell Rock,"74,35,10,220","74,784"
Ozuna - Se PreparÃ³,"74,29,70,181","4,08,747"
Elvis Presley - Can't Help Falling in Love,"74,29,49,504","4,87,362"
alt-J - Breezeblocks,"74,27,53,144","3,11,711"
Kanye West - Flashing Lights,"74,23,05,220","12,12,296"
